"","Type","Author","Year","Title","Country","Region","Region2","Species.1","Species.2","Species.3","Species.4","Species.5","Species.6","Subthreat.1a","Subthreat.1b","Subthreat.1c","Subthreat.2a","Subthreat.2b","Subthreat.3a","Subthreat.3b","Subthreat.4","Subthreat.5","Threat.1","Threat.2","Threat.3","Threat.4","Threat.5"
"1","Journal Article","M. B. Harris; W. Tomas; G. Mourao; C. J. Da Silva; E. Guimaraes; F. Sonoda; E. Fachim",2005,"Safeguarding the Pantanal wetlands: Threats and conservation initiatives","Brazil","Latin America & Caribbean","Latin America","Pteronura brasiliensis","","","","","","Livestock farming & ranching","","","Logging & wood harvesting (intentional & unintentional)","","Dams & water management/use","","Invasive non-native/alien species/diseases","","Agriculture & aquaculture","Biological resource use","Natural system modifications","Invasive & other problematic species, genes & diseases",""
"2","SCC","",1999,"The current Status of Vormela peregusna throughout its historical range","Europe","Europe & Central Asia","Europe & Central Asia","Vormela peregusna","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Agricultural & forestry effluents","","Roads & railroads","","Agriculture & aquaculture","Biological resource use","Pollution","Transportation & service corridors",""
"3","Journal Article","R. C. Van Apeldoorn; J. P. Knaapen; P. Schippers; J. Verboom; H. Van Engen; H. Meeuwsen",1998,"Applying ecological knowledge in landscape planning: a simulation model as a tool to evaluate scenarios for the badger in the Netherlands","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Annual & perennial non-timber crops","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Housing & urban areas","Roads & railroads","","Agriculture & aquaculture","Biological resource use","Residential & commercial development","Transportation & service corridors",""
"4","Book Section","M. Costa; C. Fernandes; M. Santos-Reis",2014,"Ecology and conservation of the polecat Mustela putorius (Linnaeus, 1758) in Portugal: a review","Portugal","Europe & Central Asia","Europe & Central Asia","Mustela putorius","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Roads & railroads","","Introduced genetic material","","Agriculture & aquaculture","Biological resource use","Transportation & service corridors","Invasive & other problematic species, genes & diseases","Other threats"
"5","Journal Article","C. J. Kyle; R. D. Weir; N. J. Newhouse; H. Davis; C. Strobeck",2004,"Genetic structure of sensitive and endangered northwestern badger populations (Taxidea taxus taxus and T-t. jeffersonii)","USA / Canada","North America","North America","Taxidea taxus","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Roads & railroads","","Housing & urban areas","","Agriculture & aquaculture","Biological resource use","Transportation & service corridors","Residential & commercial development","Other threats"
"6","Journal Article","N. M. Schmidt; P. M. Jensen",2003,"Changes in mammalian body length over 175 years - Adaptations to a fragmented landscape?","Europe","Europe & Central Asia","Europe & Central Asia","European sp.","","","","","","Unspecified","","","Logging & wood harvesting (intentional & unintentional)","","Roads & railroads","","","","Agriculture & aquaculture","Biological resource use","Transportation & service corridors","",""
"7","Journal Article","J. R. A. Butler; J. T. Dutoit",1994,"DIET AND CONSERVATION STATUS OF CAPE CLAWLESS OTTERS IN EASTERN ZIMBABWE","Zimbabwe","Sub-Saharan Africa","Sub-Saharan Africa","Aonyx capensis","","","","","","Annual & perennial non-timber crops","","","Logging & wood harvesting (intentional & unintentional)","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","Agriculture & aquaculture","Biological resource use","","",""
"8","Journal Article","S. Kurki; A. Nikula; P. Helle; H. Linden",1998,"Abundances of red fox and pine marten in relation to the composition of boreal forest landscapes","Finland","Europe & Central Asia","Europe & Central Asia","Martes martes","","","","","","Wood & pulp plantations","","","Logging & wood harvesting (intentional & unintentional)","","","","","","Agriculture & aquaculture","Biological resource use","","",""
"9","Journal Article","Z. J. Piao; L. N. Tang; R. K. Swihart; S. X. Wang",2011,"Human-wildlife competition for Korean pine seeds: vertebrate responses and implications for mixed forests on Changbai Mountain, China","China","East Asia & Pacific","East Asia","Martes flavigula","Martes zibellina","Mustela sibirica","","","","Wood & pulp plantations","","","Logging & wood harvesting (intentional & unintentional)","","","","","","Agriculture & aquaculture","Biological resource use","","",""
"10","Otter Bulletin article","Andreas Kranz",1994,"Otters Increasing - Threats Increasing","Austria","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","Agriculture & aquaculture","Biological resource use","","",""
"11","SCC","",2009,"Distribution, natural history, and conservation of the Patagonian Weasel Lyncodon patagonicus","Argentina","Latin America & Caribbean","Latin America","Lyncodon patagonicus","","","","","","Livestock farming & ranching","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","Agriculture & aquaculture","Biological resource use","","",""
"12","Journal Article","N. Reid; G. J. Wilson; W. I. Montgomery; R. A. McDonald",2012,"Changes in the prevalence of badger persecution in Northern Ireland","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Habitat shifting & alteration","","","","","","Agriculture & aquaculture","Climate change & severe weather","","",""
"13","Otter Bulletin article","James Butler",1993,"Resource Use within the Crab-Eating Guild in Upper Kairezi River, Zimbabwe: Proposed Project","Zimbabwe","Sub-Saharan Africa","","Aonyx capensis","","","","","","Unspecified","","","Unspecified","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","Agriculture & aquaculture","Human intrusions & disturbance","Biological resource use","",""
"14","Otter Bulletin article","",2016,"First Systematic Survey for Otter (Lutra lutra) in Ladakh, Indian Trans Himalayas","India","South Asia","","Lutra lutra","","","","","","Livestock farming & ranching","","","Not specified","","","","","","Agriculture & aquaculture","Human intrusions & disturbance","","",""
"15","Book","J. G. Howard; P. Marinari; D. E. Wildt",2003,"Integration of assisted reproductive technology in the recovery of the black-footed ferret (Mustela nigripes)","USA","North America","North America","Mustela nigripes","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Invasive non-native/alien species/diseases","","","","","","Agriculture & aquaculture","Invasive & other problematic species, genes & diseases","Other threats","",""
"16","Journal Article","M. Salek; N. Spassov; M. Andera; K. Enzinger; B. Ottlecz; Z. Hegyeli",2013,"Population status, habitat associations, and distribution of the steppe polecat Mustela eversmanii in Europe","Europe","Europe & Central Asia","Europe & Central Asia","Mustela eversmannii","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Other ecosystem modifications","Dams & water management/use","","","","","Agriculture & aquaculture","Natural system modifications","Other threats","",""
"17","Journal Article","M. A. Sepulveda; J. L. Bartheld; R. Monsalve; V. Gomez; G. Medina-Vogel",2007,"Habitat use and spatial behaviour of the endangered Southern river otter (Lontra provocax) in riparian habitats of Chile: Conservation implications","Chile","Latin America & Caribbean","Latin America","Lontra provocax","","","","","","Livestock farming & ranching","","","Dams & water management/use","","","","","","Agriculture & aquaculture","Natural system modifications","","",""
"18","Journal Article","R. Mirzaei; M. Karami; A. D. Kar; A. Abdoli",2009,"HABITAT QUALITY ASSESSMENT FOR THE EURASIAN OTTER (LUTRA LUTRA) ON THE RIVER JAJROOD, IRAN","Iran","Middle East & North Africa","Middle East & North Africa","Lutra lutra","","","","","","Unspecified","","","Unspecified","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Unspecified (habitat destruction)","","Agriculture & aquaculture","Pollution","Biological resource use","Natural system modifications",""
"19","Journal Article","A. Balestrieri; S. Messina; F. Pella; C. Prigioni; N. Saino; M. Fasola",2016,"Eurasian otter Lutra lutra in developing countries: a resurvey of Albania 22 years after the fall of communism","Albania","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","Industrial & military effluents","","Other ecosystem modifications","","","","Agriculture & aquaculture","Pollution","Natural system modifications","",""
"20","Journal Article","M. Marcelli; L. Polednik; K. Polednikova; R. Fusillo",2012,"Land use drivers of species re-expansion: inferring colonization dynamics in Eurasian otters","Czech Republic","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Unspecified (habitat destruction)","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","Agriculture & aquaculture","Pollution","","",""
"21","Otter Bulletin article","",2008,"Distribution of the Eurasian Otter (Lutra lutra) in the Republic of Macedonia in 2007","Macedonia","Europe & Central Asia","","Lutra lutra","","","","","","Not specified","","","Industrial & military effluents","","","","","","Agriculture & aquaculture","Pollution","","",""
"22","Journal Article","M. S. Khan; N. K. Dimri; A. Nawab; O. Ilyas; P. Gautam",2014,"Habitat use pattern and conservation status of smooth-coated otters Lutrogale perspicillata in the Upper Ganges Basin, India","India","South Asia","South Asia","Lutrogale perspicillata","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Housing & urban areas","","Dams & water management/use","","","","Agriculture & aquaculture","Residential & commercial development","Natural system modifications","",""
"23","Journal Article","C. Lara-Romero; E. Virgos; G. Escribano-Avila; J. G. Mangas; I. Barja; X. Pardavila",2012,"Habitat selection by European badgers in Mediterranean semi-arid ecosystems","Spain","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Annual & perennial non-timber crops","","","Housing & urban areas","","","","","","Agriculture & aquaculture","Residential & commercial development","","",""
"24","Otter Bulletin article","Bjarne Søgaard  and Aksel Bo Madsen",1996,"Management Plan for the Otter (Lutra lutra) in Denmark","Denmark  ","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","Roads & railroads","","Recreational activities","","","","Agriculture & aquaculture","Transportation & service corridors","Human intrusions & disturbance","",""
"25","Otter Bulletin article","Jerzy Romanowski and Marcin Brzeziriski",1994,"Otter News from Poland","Poland ","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","Shipping lanes","","","","","","Agriculture & aquaculture","Transportation & service corridors","","",""
"26","Otter Bulletin article","Sheila Macdonald    ",1994,"Meeting Of the European Section of the OSG","Europe ","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","Shipping lanes","","","","","","Agriculture & aquaculture","Transportation & service corridors","","",""
"27","Journal Article","C. T. Stuart",1985,"THE STATUS OF 2 ENDANGERED CARNIVORES OCCURRING IN THE CAPE-PROVINCE, SOUTH-AFRICA, FELIS-SERVAL AND LUTRA-MACULICOLLIS","South Africa","Sub-Saharan Africa","Sub-Saharan Africa","Hydrictis maculicollis","","","","","","Annual & perennial non-timber crops","","","","","","","","","Agriculture & aquaculture","","","",""
"28","Journal Article","E. Revilla; F. Palomares; M. Delibes",2000,"Defining key habitats for low density populations of Eurasian badgers in Mediterranean environments","Spain","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"29","Journal Article","A. Kranz",2000,"Otters (Lutra lutra) increasing in Central Europe: from the threat of extinction to locally perceived overpopulation?","Europe","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"30","Journal Article","T. M. Gehring; R. K. Swihart",2003,"Body size, niche breadth, and ecologically scaled responses to habitat fragmentation: mammalian predators in an agricultural landscape","USA","North America","North America","Mustela frenata","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"31","Journal Article","T. M. Gehring; R. K. Swihart",2004,"Home range and movements of long-tailed weasels in a landscape fragmented by agriculture","USA","North America","North America","Mustela frenata","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"32","Journal Article","C. Pertoldi; S. F. Barker; A. B. Madsen; H. Jorgensen; E. Randi; J. Munoz; H. J. Baagoe; V. Loeschcke",2008,"Spatio-temporal population genetics of the Danish pine marten (Martes martes)","Denmark","Europe & Central Asia","Europe & Central Asia","Martes martes","","","","","","Annual & perennial non-timber crops","","","","","","","","","Agriculture & aquaculture","","","",""
"33","Journal Article","V. Pereboom; M. Mergey; N. Villerette; R. Helder; J. F. Gerard; T. Lode",2008,"Movement patterns, habitat selection, and corridor use of a typical woodland-dweller species, the European pine marten (Martes martes), in fragmented landscape","France","Europe & Central Asia","Europe & Central Asia","Martes martes","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"34","Journal Article","T. Sales-Luis; D. Freitas; M. Santos-Reis",2009,"Key landscape factors for Eurasian otter Lutra lutra visiting rates and fish loss in estuarine fish farms","Portugal","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"35","Journal Article","A. Mortelliti; G. Amori; D. Capizzi; C. Rondinini; L. Boitani",2010,"Experimental design and taxonomic scope of fragmentation studies on European mammals: current status and future priorities","Europe","Europe & Central Asia","Europe & Central Asia","Multiple sp.","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"36","Journal Article","M. Vaclavikova; T. Vaclavik; V. Kostkan",2011,"Otters vs. fishermen: Stakeholders' perceptions of otter predation and damage compensation in the Czech Republic","Czech Republic","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"37","Journal Article","M. Mergey; J. Larroque; S. Ruette; J. M. Vandel; R. Helder; G. Queney; S. Devillard",2012,"Linking habitat characteristics with genetic diversity of the European pine marten (Martes martes) in France","France","Europe & Central Asia","Europe & Central Asia","Martes martes","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"38","Journal Article","D. Hipolito; M. Santos-Reis; L. M. Rosalino",2016,"Effects of agro-forestry activities, cattle-raising practices and food-related factors in badger sett location and use in Portugal","Portugal","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"39","Journal Article","G. Chiatante; O. Dondina; M. Lucchelli; L. Bani; A. Meriggi",2017,"Habitat selection of European badger Meles meles in a highly fragmented forest landscape in northern Italy: the importance of hedgerows and agro-forestry systems","Italy","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Livestock farming & ranching","","","","","","","","","Agriculture & aquaculture","","","",""
"40","Journal Article","Aadrean; N. Usio",2017,"Small-clawed otters (Aonyx cinereus) in Indonesian rice fields: latrine site characteristics and visitation frequency","Indonesia","East Asia & Pacific","East Asia","Aonyx cinereus","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"41","Journal Article","A. Dechner; K. M. Flesher; C. Lindell; T. V. de Oliveira; B. A. Maurer",2018,"Determining carnivore habitat use in a rubber/forest landscape in Brazil using multispecies occupancy models","Brazil","Latin America & Caribbean","Latin America","Eira barbara","","","","","","Annual & perennial non-timber crops","","","","","","","","","Agriculture & aquaculture","","","",""
"42","Otter Bulletin article","Uolevi Skáren",1990,"Fish farming and otters in Finland","Finland","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"43","Otter Bulletin article","G.C.M. van Moll",1990,"European otters and preventive measures in fish-fykes","Netherlands","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"44","Otter Bulletin article","Robert Dulfer, Jan Plesnik, Marcela Kucerová and Aleš Toman",1996,"Fish Farming Regions as Key Elements for Natural Recolonisation along an Otter EECONET","Europe","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"45","Otter Bulletin article","Marcela Kucerová",1999,"Otters And Fisheries - Workshop Report","Europe","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"46","Otter Bulletin article","Juan Ricardo Gómez and Jeffrey P. Jorgenson",1999,"An Overview of the Giant Otter-Fisherman Problem in the Orinoco Basin of Colombia","Colombia","Latin America & Caribbean","","Pteronura brasiliensis","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"47","Otter Bulletin article","Vania Fonseca and Miriam Marmontel
",2011,"Local Knowledge and Conflicts With Otters in Western Brazilian Amazon: A Preliminary Report
","Brazil","Latin America & Caribbean","","Pteronura brasiliensis","","","","","","Marine & freshwater aquaculture","","","","","","","","","Agriculture & aquaculture","","","",""
"48","SCC","",1990,"On the occurrence of the Honey-badger (Mellivora Capensis) and the viverrids in the Ivory Coast","Côte d'Ivoire","Sub-Saharan Africa","Sub-Saharan Africa","Mellivora capensis","","","","","","Wood & pulp plantations","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"49","SCC","",1996,"European Marbled polecat in need of conservation action","Europe / Asia","Europe & Central Asia","Europe & Central Asia","Vormela peregusna","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","","","","Agriculture & aquaculture","","","",""
"50","Otter Bulletin article","Naven HON1
, Phearoom NEAK2
, Vengsong KHOV3
, Vichet CHEAT4",2010,"FOOD AND HABITAT OF ASIAN SMALL-CLAWED OTTERS IN
NORTHEASTERN CAMBODIA","Cambodia","East Asia & Pacific","","Aonyx cinereus","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Annual & perennial non-timber crops","","Marine & freshwater aquaculture","","","","Biological resource use","Agriculture & aquaculture","Agriculture & aquaculture","",""
"51","Otter Bulletin article","Omar F. Al-Sheikhly and Iyad A. Nader",2013,"The Status of Iraq Smooth-Coated Otter Lutrogale perspicillata maxwelli Hayman 1956 and Eurasian Otter Lutra lutra Linnaeus 1758 in Iraq","Iraq","Middle East & North Africa","","Lutrogale perspicillata","Lutra lutra","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Unspecified","","Renewable energy","","Agricultural & forestry effluents","Marine & freshwater aquaculture","Biological resource use","Agriculture & aquaculture","Energy production & mining","Pollution","Agriculture & aquaculture"
"52","Journal Article","S. Caballero; C. A. Correa-Cardenas; F. Trujillo",2015,"Population Structure and Genetic Diversity of the Endangered South American Giant Otter (Pteronura brasiliensis) from the Orinoco Basin in Colombia: Management Implications and Application to Current Conservation Programs","Colombia","Latin America & Caribbean","Latin America","Pteronura brasiliensis","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Livestock farming & ranching","","Mining & quarrying","","","","Biological resource use","Agriculture & aquaculture","Energy production & mining","",""
"53","SCC","",2015,"Distribution and conservation status of Honey Badgers Mellivora capensis in Iran","Iran","Middle East & North Africa","Middle East & North Africa","Mellivora capensis","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Livestock farming & ranching","","Mining & quarrying","","","","Biological resource use","Agriculture & aquaculture","Energy production & mining","",""
"54","Journal Article","D. E. Biggins; J. L. Godbey",2003,"Challenges to reestablishment of free-ranging populations of black-footed ferrets","USA","North America","North America","Mustela nigripes","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Annual & perennial non-timber crops","Livestock farming & ranching","Invasive non-native/alien species/diseases","","","","Biological resource use","Agriculture & aquaculture","Invasive & other problematic species, genes & diseases","",""
"55","SCC","",1990,"The African weasel: a Red Data Book species in South Africa","South Africa","Sub-Saharan Africa","Sub-Saharan Africa","Poecilogale albinucha","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Annual & perennial non-timber crops","Livestock farming & ranching","Problematic native species/diseases","","","","Biological resource use","Agriculture & aquaculture","Invasive & other problematic species, genes & diseases","",""
"56","Journal Article","A. Nawab; S. A. Hussain",2012,"Factors affecting the occurrence of smooth-coated otter in aquatic systems of the Upper Gangetic Plains, India","India","South Asia","South Asia","Lutrogale perspicillata","","","","","","Fishing & harvesting aquatic resources (intentional & unintentional)","","","Livestock farming & ranching","","Dams & water management/use","","","","Biological resource use","Agriculture & aquaculture","Natural system modifications","",""
"57","Otter Bulletin article","",2017,"The Status and Distribution of the Clawless Otter (Aonyx capensis) in Vwaza Marsh Wildlife Reserve and Nyika National Park, Northern Malawi","Malawi","Sub-Saharan Africa","","Aonyx capensis","","","","","","Fishing & harvesting aquatic resources (intentional & unintentional)","","","Not specified","","Fire & fire suppression","","","","Biological resource use","Agriculture & aquaculture","Natural system modifications","",""
"58","Journal Article","A. Landa; T. Skogland",1995,"The relationship between population density and body size of wolverines Gulo gulo in Scandinavia","Scandinavia","Europe & Central Asia","Europe & Central Asia","Gulo gulo","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Unspecified","","","","","","Biological resource use","Agriculture & aquaculture","Other threats","",""
"59","Journal Article","J. A. Webster",2001,"A review of the historical evidence of the habitat of the Pine Marten in Cumbria","United Kingdom","Europe & Central Asia","Europe & Central Asia","Martes martes","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","Annual & perennial non-timber crops","Livestock farming & ranching","","","","","Biological resource use","Agriculture & aquaculture","Other threats","",""
"60","Otter Bulletin article","",1986,"African Otters - is their Existence Threatened?","Africa","Sub-Saharan Africa","","Aonyx capensis","Hydrictis maculicollis","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Livestock farming & ranching","","Agricultural & forestry effluents","Domestic & urban waste water","Work & other activities","","Biological resource use","Agriculture & aquaculture","Pollution","Human intrusions & disturbance",""
"61","Otter Bulletin article","A. Lejeune and V. Frank",1990,"Distribution of Lutra maculicollis in Rwanda : ecological constraints","Rwanda","Sub-Saharan Africa","","Hydrictis maculicollis","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Marine & freshwater aquaculture","","Agricultural & forestry effluents","","","","Biological resource use","Agriculture & aquaculture","Pollution","",""
"62","Otter Bulletin article","",2018,"The Conservation Status of Otters in Southwest Tanzania","Tanzania","Sub-Saharan Africa","","Lutrinae sp.","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Not specified (Habitat deterioration)","","Livestock farming & ranching","","Agricultural & forestry effluents","","","","Biological resource use","Agriculture & aquaculture","Pollution","",""
"63","SCC","",2009,"Current state of knowledge of the least-known carnivore in South America: Colombian Weasel Mustela felipei in Colombia and Ecuador","Colombia / Ecuador","Latin America & Caribbean","Latin America","Mustela felipei","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Livestock farming & ranching","","Housing & urban areas","","Industrial & military effluents","Mining & quarrying","Biological resource use","Agriculture & aquaculture","Residential & commercial development","Pollution","Energy production & mining"
"64","Journal Article","J. C. Reynolds; S. C. Tapper",1996,"Control of mammalian predators in game management and conservation","Europe","Europe & Central Asia","Europe & Central Asia","European sp.","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Livestock farming & ranching","Annual & perennial non-timber crops","Unspecified","","","","Biological resource use","Agriculture & aquaculture","Residential & commercial development","",""
"65","Journal Article","A. L. Regolin; J. J. Cherem; M. E. Graipel; J. A. Bogoni; J. W. Ribeiro; M. H. Vancine; M. A. Tortato; L. G. Oliveira-Santos; F. M. Fantacini; M. R. Luiz; P. V. de Castilho; M. C. Ribeiro; N. C. Caceres",2017,"Forest cover influences occurrence of mammalian carnivores within Brazilian Atlantic Forest","Brazil","Latin America & Caribbean","Latin America","Eira barbara","Galictis cuja","","","","","Logging & wood harvesting (intentional & unintentional)","","","Unspecified","","Unspecified","","","","Biological resource use","Agriculture & aquaculture","Residential & commercial development","",""
"66","Journal Article","C. Skinner; P. Skinner; S. Harris",1991,"THE PAST HISTORY AND RECENT DECLINE OF BADGERS MELES-MELES IN ESSEX - AN ANALYSIS OF SOME OF THE CONTRIBUTORY FACTORS","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Annual & perennial non-timber crops","Livestock farming & ranching","Roads & railroads","","Agricultural & forestry effluents","","Biological resource use","Agriculture & aquaculture","Transportation & service corridors","Pollution",""
"67","Otter Bulletin article","Omar F. Al-Sheikhly, Mukhtar K. Haba and Filippo Barbanera",2014,"Otter Hunting and Trapping, a Traditional Practice of Marsh Arabs of Iraq","Iraq","Middle East & North Africa","","Lutrogale perspicillata","Lutra lutra","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Marine & freshwater aquaculture","","","","","","Biological resource use","Agriculture & aquaculture","Unspecified (habitat destruction)","",""
"68","Journal Article","P. Reason; S. Harris; P. Cresswell",1993,"ESTIMATING THE IMPACT OF PAST PERSECUTION AND HABITAT CHANGES ON THE NUMBERS OF BADGERS MELES-MELES IN BRITAIN","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Annual & perennial non-timber crops","","","","","","Biological resource use","Agriculture & aquaculture","","",""
"69","Journal Article","J. Ozolins; V. Pilats",1995,"DISTRIBUTION AND STATUS OF SMALL AND MEDIUM-SIZED CARNIVORES IN LATVIA","Latvia","Europe & Central Asia","Europe & Central Asia","Lutra lutra","Martes foina","Mustela lutreola","Mustela erminea","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Unspecified","","","","","","Biological resource use","Agriculture & aquaculture","","",""
"70","Journal Article","H. Jacques; G. Veron; F. Alary; S. Aulagnier",2009,"The Congo clawless otter (Aonyx congicus) (Mustelidae: Lutrinae sp.): a review of its systematics, distribution and conservation status","Africa","Sub-Saharan Africa","Sub-Saharan Africa","Aonyx congicus","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","","Marine & freshwater aquaculture","","","","","Biological resource use","Agriculture & aquaculture","","",""
"71","Journal Article","M. W. N. Lau; J. R. Fellowes; B. P. L. Chan",2010,"Carnivores (Mammalia: Carnivora) in South China: a status review with notes on the commercial trade","China","East Asia & Pacific","East Asia","Meles meles","Martes martes","Martes foina","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","Wood & pulp plantations","","","","","","Biological resource use","Agriculture & aquaculture","","",""
"72","Journal Article","J. Kloskowski",2011,"Human-wildlife conflicts at pond fisheries in eastern Poland: perceptions and management of wildlife damage","Poland","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Fishing & harvesting aquatic resources (intentional & unintentional)","","","Marine & freshwater aquaculture","","","","","","Biological resource use","Agriculture & aquaculture","","",""
"73","Journal Article","A. Wilting; A. J. Hearn; J. Eaton; J. L. Belant; S. Kramer-Schadt",2016,"Predicted distribution of the Bornean ferret badger Melogale everetti (Mammalia: Carnivora: Mustelidae) on Borneo","Malaysia","East Asia & Pacific","East Asia","Melogale everetti","","","","","","Logging & wood harvesting (intentional & unintentional)","Hunting & trapping terrestrial animals (intentional & unintentional)","","Wood & pulp plantations","","","","","","Biological resource use","Agriculture & aquaculture","","",""
"74","Journal Article","J. Mathai; J. W. Duckworth; E. Meijaard; G. Fredriksson; J. Hon; A. Sebastian; M. Ancrenaz; A. J. Hearn; J. Ross; S. Cheyne; A. Wilting; C. Borneo Carnivore",2016,"Carnivore conservation planning on Borneo: identifying key carnivore landscapes, research priorities and conservation interventions","Malaysia","East Asia & Pacific","East Asia","Melogale everetti","Martes flavigula","Mustela nudipes","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","Wood & pulp plantations","","","","","","Biological resource use","Agriculture & aquaculture","","",""
"75","Journal Article","N. Spur; K. Z. Gomboc; A. Sorgo",2018,"Public acceptability of measures to prevent from predation on commercial fish by the endangered Eurasian otter (Lutra lutra) in Natura 2000","Slovenia","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Marine & freshwater aquaculture","","","","","","Biological resource use","Agriculture & aquaculture","","",""
